test.fold,species,algorithm,weight.name,FPR,TPR,accuracy.percent,auc
1,Table Mountain Pine,glmnet,balanced,0,0,81.7176447145562,0.658978072072539
1,Table Mountain Pine,glmnet,one,0,0,81.7176447145562,0.638653162948892
1,Table Mountain Pine,xgboost,balanced,0.00243842965130456,0.00490463215258856,81.6080502142074,0.630715376790535
1,Table Mountain Pine,xgboost,one,0.000121921482565228,0.000544959128065395,81.7176447145562,0.594191753589707
1,Table Mountain Pine,major.class,balanced,0,0,81.7176447145562,0.5
1,Table Mountain Pine,major.class,one,0,0,81.7176447145562,0.5
1,Table Mountain Pine,earth,one,0.000121921482565228,0.000544959128065395,81.7176447145562,0.563132438622334
2,Table Mountain Pine,glmnet,balanced,0,0,81.8670917604862,0.650334772322724
2,Table Mountain Pine,glmnet,one,0,0,81.8670917604862,0.653363671134756
2,Table Mountain Pine,xgboost,balanced,0.00340756967262991,0.0032967032967033,81.6479027597888,0.566258172884679
2,Table Mountain Pine,xgboost,one,0,0,81.8670917604862,0.605531650411169
2,Table Mountain Pine,major.class,balanced,0,0,81.8670917604862,0.5
2,Table Mountain Pine,major.class,one,0,0,81.8670917604862,0.5
2,Table Mountain Pine,earth,one,0.000851892418157478,0.00054945054945055,81.8073129421142,0.570758190938914
3,Table Mountain Pine,glmnet,balanced,0,0,82.3634914308489,0.645775356405178
3,Table Mountain Pine,glmnet,one,0,0,82.3634914308489,0.640622808564387
3,Table Mountain Pine,xgboost,balanced,0.00266150496007743,0.00225988700564972,82.1841371064169,0.61839575635542
3,Table Mountain Pine,xgboost,one,0,0,82.3634914308489,0.626965440077863
3,Table Mountain Pine,major.class,balanced,0,0,82.3634914308489,0.5
3,Table Mountain Pine,major.class,one,0,0,82.3634914308489,0.5
3,Table Mountain Pine,earth,one,0.000241954996370675,0,82.3435631725787,0.554504873957851
4,Table Mountain Pine,glmnet,balanced,0,0,81.3770426464727,0.659627284187896
4,Table Mountain Pine,glmnet,one,0,0,81.3770426464727,0.659627284187896
4,Table Mountain Pine,xgboost,balanced,0.00342843149259214,0.00321027287319422,81.1578318055002,0.366376469843698
4,Table Mountain Pine,xgboost,one,0.000244887963756581,0,81.3571143882025,0.534223682552872
4,Table Mountain Pine,major.class,balanced,0,0,81.3770426464727,0.5
4,Table Mountain Pine,major.class,one,0,0,81.3770426464727,0.5
4,Table Mountain Pine,earth,one,0,0.000535045478865704,81.3870067756078,0.5674417062808
5,Table Mountain Pine,glmnet,balanced,0,0,81.925069748904,0.662830241128422
5,Table Mountain Pine,glmnet,one,0,0,81.925069748904,0.657974162149202
5,Table Mountain Pine,xgboost,balanced,0.00304062271953296,0.00385887541345094,81.7457154244719,0.552459994523527
5,Table Mountain Pine,xgboost,one,0.000364874726343955,0,81.8951773614986,0.656735083248026
5,Table Mountain Pine,major.class,balanced,0,0,81.925069748904,0.5
5,Table Mountain Pine,major.class,one,0,0,81.925069748904,0.5
5,Table Mountain Pine,earth,one,0.000364874726343955,0,81.8951773614986,0.560662200024298
6,Table Mountain Pine,glmnet,balanced,0,0,81.486648066959,0.667697024309227
6,Table Mountain Pine,glmnet,one,0,0,81.486648066959,0.660796142134599
6,Table Mountain Pine,xgboost,balanced,0.00232330643189044,0.00161463939720129,81.3272220007971,0.550161556076965
6,Table Mountain Pine,xgboost,one,0,0.000538213132400431,81.4966121960941,0.599104366752565
6,Table Mountain Pine,major.class,balanced,0,0,81.486648066959,0.5
6,Table Mountain Pine,major.class,one,0,0,81.486648066959,0.5
6,Table Mountain Pine,earth,one,0.00012227928588897,0,81.4766839378238,0.564431838314404
7,Table Mountain Pine,glmnet,balanced,0,0,81.6759665205261,0.643648921809415
7,Table Mountain Pine,glmnet,one,0,0,81.6759665205261,0.651782310309552
7,Table Mountain Pine,xgboost,balanced,0.00243991704282054,0.00435019032082654,81.5563969709048,0.647433347244443
7,Table Mountain Pine,xgboost,one,0,0,81.6759665205261,0.619244046300577
7,Table Mountain Pine,major.class,balanced,0,0,81.6759665205261,0.5
7,Table Mountain Pine,major.class,one,0,0,81.6759665205261,0.5
7,Table Mountain Pine,earth,one,0.000121995852141027,0,81.666002391391,0.526808571923454
8,Table Mountain Pine,glmnet,balanced,0,0,82.5827022718215,0.648694895655708
8,Table Mountain Pine,glmnet,one,0,0,82.5827022718215,0.65769870475248
8,Table Mountain Pine,xgboost,balanced,0.00217181467181467,0.0034324942791762,82.4631327222001,0.579659986482069
8,Table Mountain Pine,xgboost,one,0.000120656370656371,0,82.5727381426863,0.65495680943693
8,Table Mountain Pine,major.class,balanced,0,0,82.5827022718215,0.5
8,Table Mountain Pine,major.class,one,0,0,82.5827022718215,0.5
8,Table Mountain Pine,earth,one,0.000120656370656371,0,82.5727381426863,0.510895070096658
9,Table Mountain Pine,glmnet,balanced,0,0,81.666002391391,0.665777778661914
9,Table Mountain Pine,glmnet,one,0,0,81.666002391391,0.663031940289006
9,Table Mountain Pine,xgboost,balanced,0.00268423621278673,0.00326086956521739,81.5065763252292,0.624448995533346
9,Table Mountain Pine,xgboost,one,0.000244021473889702,0,81.6460741331208,0.640071774142212
9,Table Mountain Pine,major.class,balanced,0,0,81.666002391391,0.5
9,Table Mountain Pine,major.class,one,0,0,81.666002391391,0.5
9,Table Mountain Pine,earth,one,0,0.000543478260869565,81.6759665205261,0.563097985231396
10,Table Mountain Pine,glmnet,balanced,0,0,82.0944599442009,0.659856149238765
10,Table Mountain Pine,glmnet,one,0,0,82.0944599442009,0.671073885262642
